date;time;corrosion;replicate;mussel_no;temp;mod_temp;ref.pic;notes
22/08/2023;35;non corroded;1;3;35,5;35,5;M3;
22/08/2023;35;non corroded;1;4;36,3;36,3;M4;
22/08/2023;35;non corroded;1;5;36,8;36,8;M5;
22/08/2023;35;non corroded;2;1;37,1;37,1;M1;
22/08/2023;35;non corroded;2;2;34,7;34,7;M2;
22/08/2023;35;non corroded;2;3;37,1;37,1;M3;
22/08/2023;35;non corroded;2;4;35,9;35,9;M4;
22/08/2023;35;non corroded;2;5;34,7;34,7;M5;
22/08/2023;35;non corroded;3;1;39;39;M1;
22/08/2023;35;non corroded;3;2;36,1;36,1;M2;
22/08/2023;35;non corroded;3;3;37,1;37,1;M3;
22/08/2023;35;non corroded;3;4;37,7;37,7;M4;
22/08/2023;35;non corroded;3;5;36,9;36,9;M5;
22/08/2023;40;corroded;1;1;37,3;37,3;M1;wind gust
22/08/2023;40;corroded;1;2;36,1;36,1;M2;wind gust
22/08/2023;40;corroded;1;3;35,8;35,8;M3;wind gust
22/08/2023;40;corroded;1;4;36,2;36,2;M4;wind gust
22/08/2023;40;corroded;1;5;36,9;36,9;M5;wind gust
22/08/2023;40;corroded;2;1;36,1;36,1;M1;wind gust
22/08/2023;40;corroded;2;2;36,2;36,2;M2;wind gust
22/08/2023;40;corroded;2;3;34,8;34,8;M3;wind gust
22/08/2023;40;corroded;2;4;36,6;36,6;M4;wind gust
22/08/2023;40;corroded;2;5;33,6;33,6;M5;wind gust
22/08/2023;40;non corroded;1;1;37,4;37,4;M1;wind gust
22/08/2023;40;non corroded;1;2;40;40;M2;wind gust
22/08/2023;40;non corroded;1;3;39,7;39,7;M3;wind gust
22/08/2023;40;non corroded;1;4;37,2;37,2;M4;wind gust
22/08/2023;40;non corroded;1;5;37,2;37,2;M5;wind gust
22/08/2023;40;non corroded;2;1;39,7;39,7;M1;wind gust
22/08/2023;40;non corroded;2;2;38,3;38,3;M2;wind gust
22/08/2023;40;non corroded;2;3;38,1;38,1;M3;wind gust
22/08/2023;40;non corroded;2;4;38,2;38,2;M4;wind gust
22/08/2023;40;non corroded;2;5;37,3;37,3;M5;wind gust
22/08/2023;45;corroded;1;1;49,5;49,5;M1;
22/08/2023;45;corroded;1;2;51,5;51,5;M2;
22/08/2023;45;corroded;1;3;50,5;50,5;M3;
22/08/2023;45;corroded;1;4;50,7;50,7;M4;
22/08/2023;45;corroded;1;5;50,3;50,3;M5;
22/08/2023;45;corroded;2;1;45,8;45,8;M1;
22/08/2023;45;corroded;2;2;43,1;43,1;M2;
22/08/2023;45;corroded;2;3;42,7;42,7;M3;
